id_depto_indec_residencia;departamento_residencia;id_prov_indec_residencia;provincia_residencia;anio_min;evento;id_grupo_etario;grupo_etario;sepi_min;cantidad
042;Chimbas;70;San Juan;2024;Dengue;8;De 20 a 24 años;21;1
270;Ezeiza;06;Buenos Aires;2024;Dengue;12;Mayores de 65 años;12;1
084;Rivadavia;70;San Juan;2024;Dengue;7;De 15 a 19 años;10;1
021;Dr. Manuel Belgrano;38;Jujuy;2024;Dengue;5;De 5 a 9 años;10;2
028;Almirante Brown;06;Buenos Aires;2024;Dengue;5;De 5 a 9 años;19;1
140;San Fernando;22;Chaco;2024;Dengue;3;De 13 a 24 meses;18;1
014;Formosa;34;Formosa;2024;Dengue;2;Posneonato (29 hasta 365 dÍas);1;6
112;Yavi;38;Jujuy;2024;Dengue;6;De 10 a 14 años;6;1
070;Independencia;22;Chaco;2024;Dengue;12;Mayores de 65 años;17;1
270;Ezeiza;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;10;6
063;Ramón Lista;34;Formosa;2024;Dengue;5;De 5 a 9 años;7;1
091;San Cristóbal;82;Santa Fe;2024;Dengue;6;De 10 a 14 años;5;1
035;Ledesma;38;Jujuy;2024;Dengue;1;Neonato (hasta 28 dÍas);13;1
014;COMUNA 14;02;CABA;2024;Dengue;7;De 15 a 19 años;16;3
441;La Plata;06;Buenos Aires;2024;Dengue;8;De 20 a 24 años;6;2
448;Laprida;06;Buenos Aires;2024;Dengue;9;De 25 a 34 años;18;1
805;Tigre;06;Buenos Aires;2024;Dengue;2;Posneonato (29 hasta 365 dÍas);12;1
021;Calingasta;70;San Juan;2024;Dengue;10;De 35 a 44 años;3;1
490;Lomas de Zamora;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;11;95
105;San Jerónimo;82;Santa Fe;2024;Dengue;11;De 45 a 65 años;16;8
011;COMUNA 11;02;CABA;2024;Dengue;8;De 20 a 24 años;15;4
070;Monteros;90;Tucumán;2024;Dengue;10;De 35 a 44 años;17;22
007;Burruyacú;90;Tucumán;2024;Dengue;8;De 20 a 24 años;14;47
028;Matacos;34;Formosa;2024;Dengue;6;De 10 a 14 años;15;1
035;Cerrillos;66;Salta;2024;Dengue;2;Posneonato (29 hasta 365 dÍas);15;1
760;San Miguel;06;Buenos Aires;2024;Dengue;11;De 45 a 65 años;3;3
063;Lules;90;Tucumán;2024;Dengue;9;De 25 a 34 años;18;9
999;desconocido;99;desconocida;2024;Dengue;10;De 35 a 44 años;6;6
778;San Vicente;06;Buenos Aires;2024;Dengue;9;De 25 a 34 años;16;1
133;Vera;82;Santa Fe;2024;Dengue;9;De 25 a 34 años;17;14
070;Las Colonias;82;Santa Fe;2024;Dengue;9;De 25 a 34 años;16;36
168;Totoral;14;Córdoba;2024;Dengue;10;De 35 a 44 años;12;3
021;Colón;14;Córdoba;2024;Dengue;2;Posneonato (29 hasta 365 dÍas);13;8
070;Maipú;50;Mendoza;2024;Dengue;11;De 45 a 65 años;12;6
028;Capital;66;Salta;2024;Dengue;5;De 5 a 9 años;18;11
